Probe	Ensembl	chromosome_name
NFYC	ENSG00000066136	1
ZMYND12	ENSG00000066185	1
ASPM	ENSG00000066279	1
CD84	ENSG00000066294	1
ELOVL1	ENSG00000066322	1
LRRC40	ENSG00000066557	1
EVI5	ENSG00000067208	1
DNTTIP2	ENSG00000067334	1
RRP15	ENSG00000067533	1
PRKCZ	ENSG00000067606	1
IARS2	ENSG00000067704	1
NUP133	ENSG00000069248	1
NUCKS1	ENSG00000069275	1
KCNAB2	ENSG00000069424	1
TGFBR3	ENSG00000069702	1
TESK2	ENSG00000070759	1
EIF2B3	ENSG00000070785	1
CDC42	ENSG00000070831	1
FCGR2B	ENSG00000072694	1
PTGS2	ENSG00000073756	1
ENO1	ENSG00000074800	1
ARHGEF10L	ENSG00000074964	1
EIF4G3	ENSG00000075151	1
RASAL2	ENSG00000075391	1
KIFAP3	ENSG00000075945	1
FMO4	ENSG00000076258	1
KLHL20	ENSG00000076321	1
PLXNA2	ENSG00000076356	1
RAP1GAP	ENSG00000076864	1
UBE2T	ENSG00000077152	1
PPP1R12B	ENSG00000077157	1
USP33	ENSG00000077254	1
CAPZB	ENSG00000077549	1
GPR137B	ENSG00000077585	1
GNB1	ENSG00000078369	1
NRD1	ENSG00000078618	1
SDF4	ENSG00000078808	1
TP73	ENSG00000078900	1
MKNK1	ENSG00000079277	1
CDC14A	ENSG00000079335	1
PGM1	ENSG00000079739	1
CROCCP3	ENSG00000080947	1
RSBN1	ENSG00000081019	1
MAGI3	ENSG00000081026	1
JMJD4	ENSG00000081692	1
DUSP12	ENSG00000081721	1
HSPB11	ENSG00000081870	1
IL12RB2	ENSG00000081985	1
TRAF5	ENSG00000082512	1
PLOD1	ENSG00000083444	1
SMAP2	ENSG00000084070	1
PPIE	ENSG00000084072	1
ZMPSTE24	ENSG00000084073	1
EIF3I	ENSG00000084623	1
TXLNA	ENSG00000084652	1
WDR47	ENSG00000085433	1
OVGP1	ENSG00000085465	1
IGSF9	ENSG00000085552	1
TTC39A	ENSG00000085831	1
EPS15	ENSG00000085832	1
ORC1	ENSG00000085840	1
POMGNT1	ENSG00000085998	1
RAD54L	ENSG00000085999	1
MAST2	ENSG00000086015	1
ERO1LB	ENSG00000086619	1
ALG6	ENSG00000088035	1
SLC9A1	ENSG00000090020	1
RGS1	ENSG00000090104	1
NUDC	ENSG00000090273	1
MUL1	ENSG00000090432	1
PABPC4	ENSG00000090621	1
USP48	ENSG00000090686	1
FH	ENSG00000091483	1
PHGDH	ENSG00000092621	1
EIF2C1	ENSG00000092847	1
TEKT2	ENSG00000092850	1
CLSPN	ENSG00000092853	1
GPATCH2	ENSG00000092978	1
C1orf9	ENSG00000094975	1
ACOT7	ENSG00000097021	1
SH3GLB1	ENSG00000097033	1
CDC7	ENSG00000097046	1
SYDE2	ENSG00000097096	1
DVL1	ENSG00000107404	1
BCL9	ENSG00000116128	1
DHCR24	ENSG00000116133	1
DNAJC16	ENSG00000116138	1
MORN1	ENSG00000116151	1
GPX7	ENSG00000116157	1
CACYBP	ENSG00000116161	1
SCP2	ENSG00000116171	1
RALGPS2	ENSG00000116191	1
ANGPTL1	ENSG00000116194	1
KIAA0562	ENSG00000116198	1
FAM20B	ENSG00000116199	1
C1orf83	ENSG00000116205	1
TMEM59	ENSG00000116209	1
LRRC42	ENSG00000116212	1
WDR8	ENSG00000116213	1
MRPL37	ENSG00000116221	1
ICMT	ENSG00000116237	1
RPL22	ENSG00000116251	1
CHD5	ENSG00000116254	1
QSOX1	ENSG00000116260	1
STXBP3	ENSG00000116266	1
PHF13	ENSG00000116273	1
ERRFI1	ENSG00000116285	1
PARK7	ENSG00000116288	1
KIAA1324	ENSG00000116299	1
AMPD2	ENSG00000116337	1
SRSF4	ENSG00000116350	1
MECR	ENSG00000116353	1
KCNC4	ENSG00000116396	1
EDEM3	ENSG00000116406	1
WDR77	ENSG00000116455	1
ATP5F1	ENSG00000116459	1
RAP1A	ENSG00000116473	1
HDAC1	ENSG00000116478	1
CAPZA1	ENSG00000116489	1
S100PBP	ENSG00000116497	1
RNF19B	ENSG00000116514	1
TRIM62	ENSG00000116525	1
ASH1L	ENSG00000116539	1
DLGAP3	ENSG00000116544	1
SFPQ	ENSG00000116560	1
GON4L	ENSG00000116580	1
ARHGEF2	ENSG00000116584	1
ROBLD3	ENSG00000116586	1
MEF2D	ENSG00000116604	1
DOCK7	ENSG00000116641	1
SRM	ENSG00000116649	1
DLEU2L	ENSG00000116652	1
FBXO2	ENSG00000116661	1
FBXO6	ENSG00000116663	1
C1orf21	ENSG00000116667	1
C1orf26	ENSG00000116668	1
MAD2L2	ENSG00000116670	1
DNAJC6	ENSG00000116675	1
LEPR	ENSG00000116678	1
IVNS1ABP	ENSG00000116679	1
KIAA2013	ENSG00000116685	1
MFN2	ENSG00000116688	1
PRG4	ENSG00000116690	1
MIIP	ENSG00000116691	1
SMG7	ENSG00000116698	1
NCF2	ENSG00000116701	1
SLC35D1	ENSG00000116704	1
PLA2G4A	ENSG00000116711	1
GADD45A	ENSG00000116717	1
WLS	ENSG00000116729	1
PRDM2	ENSG00000116731	1
RGS2	ENSG00000116741	1
TROVE2	ENSG00000116747	1
UCHL5	ENSG00000116750	1
BCAS2	ENSG00000116752	1
SRSF11	ENSG00000116754	1
CTH	ENSG00000116761	1
AGMAT	ENSG00000116771	1
OLFML3	ENSG00000116774	1
PLEKHM2	ENSG00000116786	1
CRYZ	ENSG00000116791	1
PHTF1	ENSG00000116793	1
ZBTB17	ENSG00000116809	1
CD58	ENSG00000116815	1
TFAP2E	ENSG00000116819	1
CD2	ENSG00000116824	1
TTF2	ENSG00000116830	1
KIF21B	ENSG00000116852	1
TMEM9	ENSG00000116857	1
ADPRHL2	ENSG00000116863	1
MAP7D1	ENSG00000116871	1
WARS2	ENSG00000116874	1
OSCP1	ENSG00000116885	1
MRPS15	ENSG00000116898	1
EXOC8	ENSG00000116903	1
GNPAT	ENSG00000116906	1
TSNAX	ENSG00000116918	1
C1orf109	ENSG00000116922	1
RRAGC	ENSG00000116954	1
NID1	ENSG00000116962	1
LGALS8	ENSG00000116977	1
HPCAL4	ENSG00000116983	1
MTR	ENSG00000116984	1
BMP8B	ENSG00000116985	1
MYCL1	ENSG00000116990	1
SIPA1L2	ENSG00000116991	1
RLF	ENSG00000117000	1
KMO	ENSG00000117009	1
ZNF684	ENSG00000117010	1
KCNQ4	ENSG00000117013	1
RIMS3	ENSG00000117016	1
ETV3	ENSG00000117036	1
ACADM	ENSG00000117054	1
SLAMF1	ENSG00000117090	1
CD48	ENSG00000117091	1
PADI2	ENSG00000117115	1
SDHB	ENSG00000117118	1
RPF1	ENSG00000117133	1
KDM5B	ENSG00000117139	1
UAP1	ENSG00000117143	1
CTBS	ENSG00000117151	1
KLHL12	ENSG00000117153	1
SSX2IP	ENSG00000117155	1
ZNHIT6	ENSG00000117174	1
PLA2G2D	ENSG00000117215	1
RBBP5	ENSG00000117222	1
GBP3	ENSG00000117226	1
GBP1	ENSG00000117228	1
KIF17	ENSG00000117245	1
GPR89A	ENSG00000117262	1
CDK18	ENSG00000117266	1
RAB7L1	ENSG00000117280	1
CD160	ENSG00000117281	1
ECE1	ENSG00000117298	1
HMGCL	ENSG00000117305	1
GALE	ENSG00000117308	1
CR2	ENSG00000117322	1
CD46	ENSG00000117335	1
PRPF3	ENSG00000117360	1
APH1A	ENSG00000117362	1
LEPRE1	ENSG00000117385	1
SLC2A1	ENSG00000117394	1
EBNA1BP2	ENSG00000117395	1
CDC20	ENSG00000117399	1
MPL	ENSG00000117400	1
IPO13	ENSG00000117408	1
ATP6V0B	ENSG00000117410	1
B4GALT2	ENSG00000117411	1
ERI3	ENSG00000117419	1
PTCH2	ENSG00000117425	1
AKR1A1	ENSG00000117448	1
PRDX1	ENSG00000117450	1
PIK3R3	ENSG00000117461	1
TSPAN1	ENSG00000117472	1
BLZF1	ENSG00000117475	1
C1orf114	ENSG00000117477	1
SLC19A2	ENSG00000117479	1
FAAH	ENSG00000117480	1
NSUN4	ENSG00000117481	1
TMED5	ENSG00000117500	1
DR1	ENSG00000117505	1
CNN3	ENSG00000117519	1
PRRC2C	ENSG00000117523	1
ABCD3	ENSG00000117528	1
VAMP4	ENSG00000117533	1
DPH5	ENSG00000117543	1
FASLG	ENSG00000117560	1
PTBP2	ENSG00000117569	1
TNFSF4	ENSG00000117586	1
PRDX6	ENSG00000117592	1
DARS2	ENSG00000117593	1
HSD11B1	ENSG00000117594	1
IRF6	ENSG00000117595	1
C1orf107	ENSG00000117597	1
SERPINC1	ENSG00000117601	1
RCAN3	ENSG00000117602	1
SYF2	ENSG00000117614	1
C1orf63	ENSG00000117616	1
SLC35A3	ENSG00000117620	1
RCOR3	ENSG00000117625	1
STMN1	ENSG00000117632	1
FAM54B	ENSG00000117640	1
MAN1C1	ENSG00000117643	1
NEK2	ENSG00000117650	1
DHDDS	ENSG00000117682	1
NENF	ENSG00000117691	1
NSL1	ENSG00000117697	1
ARID1A	ENSG00000117713	1
CENPF	ENSG00000117724	1
RPA2	ENSG00000117748	1
PPP1R8	ENSG00000117751	1
STX12	ENSG00000117758	1
MOSC2	ENSG00000117791	1
SLC5A9	ENSG00000117834	1
OSBPL9	ENSG00000117859	1
TXNDC12	ENSG00000117862	1
KIF14	ENSG00000118193	1
DDX59	ENSG00000118197	1
CAMSAP1L1	ENSG00000118200	1
ATF6	ENSG00000118217	1
C1orf54	ENSG00000118292	1
CA14	ENSG00000118298	1
ANKRD13C	ENSG00000118454	1
SGIP1	ENSG00000118473	1
DCLRE1B	ENSG00000118655	1
RAB3GAP2	ENSG00000118873	1
C1orf198	ENSG00000119280	1
HEATR1	ENSG00000119285	1
CSF3R	ENSG00000119535	1
MRPS14	ENSG00000120333	1
CENPL	ENSG00000120334	1
SEC16B	ENSG00000120341	1
GORAB	ENSG00000120370	1
TAF12	ENSG00000120656	1
UBIAD1	ENSG00000120942	1
TARDBP	ENSG00000120948	1
TNFRSF8	ENSG00000120949	1
ECHDC2	ENSG00000121310	1
LHX4	ENSG00000121454	1
RNF2	ENSG00000121481	1
C1orf25	ENSG00000121486	1
PPPDE1	ENSG00000121644	1
BAI2	ENSG00000121753	1
ZCCHC17	ENSG00000121766	1
FABP3	ENSG00000121769	1
KHDRBS1	ENSG00000121774	1
TMEM39B	ENSG00000121775	1
POLR3GL	ENSG00000121851	1
TMEM54	ENSG00000121900	1
ZSCAN20	ENSG00000121903	1
C1orf103	ENSG00000121931	1
CLCC1	ENSG00000121940	1
GPSM2	ENSG00000121957	1
LAX1	ENSG00000122188	1
COPA	ENSG00000122218	1
CD244	ENSG00000122223	1
LY9	ENSG00000122224	1
RPL5	ENSG00000122406	1
ODF2L	ENSG00000122417	1
PTGFR	ENSG00000122420	1
SPATA1	ENSG00000122432	1
CCDC76	ENSG00000122435	1
LRRC39	ENSG00000122477	1
RWDD3	ENSG00000122481	1
ZNF644	ENSG00000122482	1
CCDC18	ENSG00000122483	1
RPAP2	ENSG00000122484	1
CDKN2C	ENSG00000123080	1
RNF11	ENSG00000123091	1
ATPAF1	ENSG00000123472	1
STIL	ENSG00000123473	1
LPGAT1	ENSG00000123684	1
BATF3	ENSG00000123685	1
G0S2	ENSG00000123689	1
PFKFB2	ENSG00000123836	1
C4BPA	ENSG00000123838	1
C4BPB	ENSG00000123843	1
MSTO1	ENSG00000125459	1
C1orf61	ENSG00000125462	1
ATG4C	ENSG00000125703	1
PSMB2	ENSG00000126067	1
EIF2C3	ENSG00000126070	1
UROD	ENSG00000126088	1
ST3GAL3	ENSG00000126091	1
TMEM53	ENSG00000126106	1
HECTD3	ENSG00000126107	1
AHDC1	ENSG00000126705	1
IFI6	ENSG00000126709	1
CPSF3L	ENSG00000127054	1
HIVEP3	ENSG00000127124	1
PPCS	ENSG00000127125	1
C1orf135	ENSG00000127423	1
KIAA0090	ENSG00000127463	1
UBR4	ENSG00000127481	1
HP1BP3	ENSG00000127483	1
MACF1	ENSG00000127603	1
CCDC21	ENSG00000130695	1
LRRC47	ENSG00000130764	1
SMPDL3B	ENSG00000130768	1
C1orf38	ENSG00000130775	1
UBE4B	ENSG00000130939	1
CASZ1	ENSG00000130940	1
CAP1	ENSG00000131236	1
PPT1	ENSG00000131238	1
ACAP3	ENSG00000131584	1
C1orf159	ENSG00000131591	1
CA6	ENSG00000131686	1
NPHP4	ENSG00000131697	1
CHD1L	ENSG00000131778	1
PEX11B	ENSG00000131779	1
FMO5	ENSG00000131781	1
PIAS3	ENSG00000131788	1
PRKAB2	ENSG00000131791	1
SPATA6	ENSG00000132122	1
LRRC41	ENSG00000132128	1
FCRLA	ENSG00000132185	1
HSD17B7	ENSG00000132196	1
ZRANB2	ENSG00000132485	1
DAP3	ENSG00000132676	1
KIAA0907	ENSG00000132680	1
ATP1A4	ENSG00000132681	1
ARHGEF11	ENSG00000132694	1
RAB25	ENSG00000132698	1
FCRL2	ENSG00000132704	1
DCAF8	ENSG00000132716	1
SYT11	ENSG00000132718	1
MMACHC	ENSG00000132763	1
DPH2	ENSG00000132768	1
TOE1	ENSG00000132773	1
NASP	ENSG00000132780	1
MUTYH	ENSG00000132781	1
INADL	ENSG00000132849	1
FBXO44	ENSG00000132879	1
C1orf89	ENSG00000132881	1
CASP9	ENSG00000132906	1
CHI3L1	ENSG00000133048	1
MYBPH	ENSG00000133055	1
PIK3C2B	ENSG00000133056	1
DSTYK	ENSG00000133059	1
CHIT1	ENSG00000133063	1
SLC41A1	ENSG00000133065	1
LGR6	ENSG00000133067	1
TMCC2	ENSG00000133069	1
EPHB2	ENSG00000133216	1
SRRM1	ENSG00000133226	1
GNAT2	ENSG00000134183	1
GSTM1	ENSG00000134184	1
PRPF38B	ENSG00000134186	1
REG4	ENSG00000134193	1
TSPAN2	ENSG00000134198	1
GSTM5	ENSG00000134201	1
GSTM3	ENSG00000134202	1
VAV3	ENSG00000134215	1
PSRC1	ENSG00000134222	1
PTPN22	ENSG00000134242	1
SORT1	ENSG00000134243	1
WNT2B	ENSG00000134245	1
PTGFRN	ENSG00000134247	1
HBXIP	ENSG00000134248	1
NOTCH2	ENSG00000134250	1
TRIM45	ENSG00000134253	1
CEPT1	ENSG00000134255	1
CD101	ENSG00000134256	1
AP4B1	ENSG00000134262	1
NAV1	ENSG00000134369	1
CDC73	ENSG00000134371	1
TIMM17A	ENSG00000134375	1
PUM1	ENSG00000134644	1
SPOCD1	ENSG00000134668	1
YARS	ENSG00000134684	1
PHC2	ENSG00000134686	1
CDCA8	ENSG00000134690	1
GNL2	ENSG00000134697	1
EIF2C4	ENSG00000134698	1
HOOK1	ENSG00000134709	1
CYP2J2	ENSG00000134716	1
BTF3L4	ENSG00000134717	1
ZCCHC11	ENSG00000134744	1
PRPF38A	ENSG00000134748	1
PCNXL2	ENSG00000135749	1
URB2	ENSG00000135763	1
EGLN1	ENSG00000135766	1
COG2	ENSG00000135775	1
ABCB10	ENSG00000135776	1
NTPCR	ENSG00000135778	1
TAF5L	ENSG00000135801	1
GLUL	ENSG00000135821	1
STX6	ENSG00000135823	1
RNASEL	ENSG00000135828	1
DHX9	ENSG00000135829	1
KIAA1614	ENSG00000135835	1
CEP350	ENSG00000135837	1
NPL	ENSG00000135838	1
FAM129A	ENSG00000135842	1
PIGC	ENSG00000135845	1
LAMC1	ENSG00000135862	1
RC3H1	ENSG00000135870	1
EPRS	ENSG00000136628	1
HLX	ENSG00000136630	1
VPS45	ENSG00000136631	1
IL10	ENSG00000136634	1
KCTD3	ENSG00000136636	1
RPS6KC1	ENSG00000136643	1
BCAR3	ENSG00000137936	1
TTLL7	ENSG00000137941	1
FNBP1L	ENSG00000137942	1
CCBL2	ENSG00000137944	1
GTF2B	ENSG00000137947	1
RABGGTB	ENSG00000137955	1
IFI44L	ENSG00000137959	1
ARHGAP29	ENSG00000137962	1
IFI44	ENSG00000137965	1
SLC44A5	ENSG00000137968	1
DBT	ENSG00000137992	1
RTCD1	ENSG00000137996	1
SLC2A5	ENSG00000142583	1
RERE	ENSG00000142599	1
FHAD1	ENSG00000142621	1
EPHA2	ENSG00000142627	1
ARHGEF19	ENSG00000142632	1
EFHD2	ENSG00000142634	1
PEX14	ENSG00000142655	1
PGD	ENSG00000142657	1
SH3BGRL3	ENSG00000142669	1
CNKSR1	ENSG00000142675	1
RPL11	ENSG00000142676	1
ZNF593	ENSG00000142684	1
C1orf216	ENSG00000142686	1
KIAA0319L	ENSG00000142687	1
FAM176B	ENSG00000142694	1
MAP3K6	ENSG00000142733	1
GPN2	ENSG00000142751	1
SYTL1	ENSG00000142765	1
WDTC1	ENSG00000142784	1
NBPF3	ENSG00000142794	1
HSPG2	ENSG00000142798	1
ITGB3BP	ENSG00000142856	1
SERBP1	ENSG00000142864	1
BCL10	ENSG00000142867	1
PRKACB	ENSG00000142875	1
PIGK	ENSG00000142892	1
ADC	ENSG00000142920	1
RPS8	ENSG00000142937	1
KIF2C	ENSG00000142945	1
PTPRF	ENSG00000142949	1
BEST4	ENSG00000142959	1
MOBKL2C	ENSG00000142961	1
CYP4B1	ENSG00000142973	1
LMO4	ENSG00000143013	1
MTF2	ENSG00000143033	1
SLC44A3	ENSG00000143036	1
IGSF3	ENSG00000143061	1
ZNF697	ENSG00000143067	1
CTTNBP2NL	ENSG00000143079	1
FAM40A	ENSG00000143093	1
PSMA5	ENSG00000143106	1
C1orf162	ENSG00000143110	1
CD53	ENSG00000143119	1
CELSR2	ENSG00000143126	1
ITGA10	ENSG00000143127	1
GPR161	ENSG00000143147	1
ALDH9A1	ENSG00000143149	1
ATP1B1	ENSG00000143153	1
TIPRL	ENSG00000143155	1
NME7	ENSG00000143156	1
POGK	ENSG00000143157	1
BRP44	ENSG00000143158	1
CREG1	ENSG00000143162	1
DCAF6	ENSG00000143164	1
GPA33	ENSG00000143167	1
TBX19	ENSG00000143178	1
UCK2	ENSG00000143179	1
TMCO1	ENSG00000143183	1
XCL1	ENSG00000143184	1
XCL2	ENSG00000143185	1
POU2F1	ENSG00000143190	1
ILDR2	ENSG00000143195	1
MGST3	ENSG00000143198	1
ADCY10	ENSG00000143199	1
RFWD2	ENSG00000143207	1
UFC1	ENSG00000143222	1
PPOX	ENSG00000143224	1
FCGR2A	ENSG00000143226	1
NUF2	ENSG00000143228	1
RGS5	ENSG00000143248	1
SDHC	ENSG00000143252	1
PFDN2	ENSG00000143256	1
NR1I3	ENSG00000143257	1
USP21	ENSG00000143258	1
PRCC	ENSG00000143294	1
FCRL5	ENSG00000143297	1
C1orf66	ENSG00000143303	1
MRPL24	ENSG00000143314	1
PIGM	ENSG00000143315	1
CASQ1	ENSG00000143318	1
ISG20L2	ENSG00000143319	1
CRABP2	ENSG00000143320	1
HDGF	ENSG00000143321	1
ABL2	ENSG00000143322	1
XPR1	ENSG00000143324	1
RGS16	ENSG00000143333	1
TOR1AIP1	ENSG00000143337	1
RGL1	ENSG00000143344	1
LYPLAL1	ENSG00000143353	1
PRUNE	ENSG00000143363	1
RORC	ENSG00000143365	1
TUFT1	ENSG00000143367	1
SF3B4	ENSG00000143368	1
ECM1	ENSG00000143369	1
ZNF687	ENSG00000143373	1
TARS2	ENSG00000143374	1
CGN	ENSG00000143375	1
SNX27	ENSG00000143376	1
SETDB1	ENSG00000143379	1
ADAMTSL4	ENSG00000143382	1
MCL1	ENSG00000143384	1
CTSK	ENSG00000143387	1
RFX5	ENSG00000143390	1
PI4KB	ENSG00000143393	1
PIP5K1A	ENSG00000143398	1
ANP32E	ENSG00000143401	1
FAM63A	ENSG00000143409	1
ANXA9	ENSG00000143412	1
SELENBP1	ENSG00000143416	1
LASS2	ENSG00000143418	1
ENSA	ENSG00000143420	1
SEMA6C	ENSG00000143434	1
MRPL9	ENSG00000143436	1
ARNT	ENSG00000143437	1
POGZ	ENSG00000143442	1
C1orf56	ENSG00000143443	1
OAZ3	ENSG00000143450	1
HORMAD1	ENSG00000143452	1
GOLPH3L	ENSG00000143457	1
GABPB2	ENSG00000143458	1
KCNH1	ENSG00000143473	1
DTL	ENSG00000143476	1
DYRK3	ENSG00000143479	1
LGTN	ENSG00000143486	1
INTS7	ENSG00000143493	1
VASH2	ENSG00000143494	1
TAF1A	ENSG00000143498	1
SMYD2	ENSG00000143499	1
SUSD4	ENSG00000143502	1
DUSP10	ENSG00000143507	1
HHIPL2	ENSG00000143512	1
TP53BP2	ENSG00000143514	1
ATP8B2	ENSG00000143515	1
ADAM15	ENSG00000143537	1
JTB	ENSG00000143543	1
RAB13	ENSG00000143545	1
S100A8	ENSG00000143546	1
TPM3	ENSG00000143549	1
NUP210L	ENSG00000143552	1
SNAPIN	ENSG00000143553	1
UBAP2L	ENSG00000143569	1
SLC39A1	ENSG00000143570	1
HAX1	ENSG00000143575	1
CREB3L4	ENSG00000143578	1
EFNA3	ENSG00000143590	1
AQP10	ENSG00000143595	1
KCNN3	ENSG00000143603	1
C1orf43	ENSG00000143612	1
ILF2	ENSG00000143621	1
RIT1	ENSG00000143622	1
ACTA1	ENSG00000143632	1
C1orf131	ENSG00000143633	1
GALNT2	ENSG00000143641	1
TTC13	ENSG00000143643	1
SCCPDH	ENSG00000143653	1
LYST	ENSG00000143669	1
KIAA1804	ENSG00000143674	1
SNAP47	ENSG00000143740	1
SRP9	ENSG00000143742	1
NVL	ENSG00000143748	1
C1orf55	ENSG00000143751	1
DEGS1	ENSG00000143753	1
FBXO28	ENSG00000143756	1
ARF1	ENSG00000143761	1
CNIH4	ENSG00000143771	1
ITPKB	ENSG00000143772	1
GUK1	ENSG00000143774	1
CDC42BPA	ENSG00000143776	1
C1orf35	ENSG00000143793	1
PARP1	ENSG00000143799	1
PSEN2	ENSG00000143801	1
PYCR2	ENSG00000143811	1
LBR	ENSG00000143815	1
EPHX1	ENSG00000143819	1
SOX13	ENSG00000143842	1
ETNK2	ENSG00000143845	1
PPFIA4	ENSG00000143847	1
PLEKHA6	ENSG00000143850	1
PTPN7	ENSG00000143851	1
SYT2	ENSG00000143858	1
ARL8A	ENSG00000143862	1
ZMYM4	ENSG00000146463	1
FCGR1A	ENSG00000150337	1
RGS18	ENSG00000150681	1
NEK7	ENSG00000151414	1
RABGAP1L	ENSG00000152061	1
TMEM56	ENSG00000152078	1
PTPN14	ENSG00000152104	1
UHMK1	ENSG00000152332	1
TADA1	ENSG00000152382	1
TCTEX1D1	ENSG00000152760	1
WDR78	ENSG00000152763	1
GGPS1	ENSG00000152904	1
MR1	ENSG00000153029	1
HNRNPU	ENSG00000153187	1
AHCTF1	ENSG00000153207	1
C1orf97	ENSG00000153363	1
MCOLN2	ENSG00000153898	1
HS2ST1	ENSG00000153936	1
AK5	ENSG00000154027	1
CC2D1B	ENSG00000154222	1
MIA3	ENSG00000154305	1
DISP1	ENSG00000154309	1
OBSCN	ENSG00000154358	1
TRIM11	ENSG00000154370	1
ENAH	ENSG00000154380	1
C1orf96	ENSG00000154429	1
GBP5	ENSG00000154451	1
FAM69A	ENSG00000154511	1
MOV10	ENSG00000155363	1
RHOC	ENSG00000155366	1
PPM1J	ENSG00000155367	1
SPAG17	ENSG00000155761	1
GPR61	ENSG00000156097	1
ALX3	ENSG00000156150	1
DRAM2	ENSG00000156171	1
FRRS1	ENSG00000156869	1
HIAT1	ENSG00000156875	1
SASS6	ENSG00000156876	1
NMNAT2	ENSG00000157064	1
ZFYVE9	ENSG00000157077	1
C1orf27	ENSG00000157181	1
CPT2	ENSG00000157184	1
NECAP2	ENSG00000157191	1
LRP8	ENSG00000157193	1
SSBP3	ENSG00000157216	1
PEX10	ENSG00000157911	1
RER1	ENSG00000157916	1
SKI	ENSG00000157933	1
LDLRAP1	ENSG00000157978	1
PAFAH2	ENSG00000158006	1
UBXN11	ENSG00000158062	1
TPRG1L	ENSG00000158109	1
XKR8	ENSG00000158156	1
EYA3	ENSG00000158161	1
WASF2	ENSG00000158195	1
FAM46B	ENSG00000158246	1
RNF207	ENSG00000158286	1
GPR153	ENSG00000158292	1
RHBDL2	ENSG00000158315	1
CD1D	ENSG00000158473	1
CD1A	ENSG00000158477	1
CD1C	ENSG00000158481	1
CD1B	ENSG00000158485	1
CD1E	ENSG00000158488	1
PPP1R15B	ENSG00000158615	1
TAGLN2	ENSG00000158710	1
ELK4	ENSG00000158711	1
SLAMF8	ENSG00000158714	1
SLC45A3	ENSG00000158715	1
DUSP23	ENSG00000158716	1
NBL1	ENSG00000158747	1
HTR6	ENSG00000158748	1
ITLN2	ENSG00000158764	1
F11R	ENSG00000158769	1
USF1	ENSG00000158773	1
NIT1	ENSG00000158793	1
DEDD	ENSG00000158796	1
CDA	ENSG00000158825	1
PINK1	ENSG00000158828	1
B4GALT3	ENSG00000158850	1
ADAMTS4	ENSG00000158859	1
NDUFS2	ENSG00000158864	1
FCER1G	ENSG00000158869	1
TOMM40L	ENSG00000158882	1
MPZ	ENSG00000158887	1
CACHD1	ENSG00000158966	1
EPB41	ENSG00000159023	1
SV2A	ENSG00000159164	1
CSRP1	ENSG00000159176	1
C1QC	ENSG00000159189	1
